column,zero_pct,missing_pct,predicted_missing_pct
CWE Flag Count,99.999961,0.000154,-1.6276517664200532e-06
Bwd Pkts/b Avg,99.999961,0.000231,-1.6276517664200532e-06
Fwd Seg Size Min,99.999961,0.000231,-1.6276517664200532e-06
ECE Flag Cnt,99.999961,0.000193,-1.6276517664200532e-06
Fwd Blk Rate Avg,99.999923,0.000231,-1.626022409735757e-06
Bwd Blk Rate Avg,99.999923,0.000231,-1.626022409735757e-06
Fwd Pkts/b Avg,99.999923,0.000193,-1.626022409735757e-06
Bwd Byts/b Avg,99.999923,0.000231,-1.626022409735757e-06
URG Flag Cnt,99.999884,0.000154,-1.6243501752433859e-06
Fwd Byts/b Avg,99.999884,0.000193,-1.6243501752433859e-06
Fwd URG Flags,99.999884,0.000116,-1.6243501752433859e-06
Fwd PSH Flags,99.999846,0.000116,-1.6227208185582223e-06
Bwd URG Flags,99.999846,0.000154,-1.6227208185582223e-06
RST Flag Cnt,99.999692,0.000154,-1.6161176362040203e-06
FIN Flag Cnt,99.999036,0.000154,-1.5879897944876334e-06
PSH Flag Cnt,98.007646,0.000154,8.379844727367681e-05
Bwd PSH Flags,98.007608,0.000116,8.38000766303611e-05
SYN Flag Cnt,96.356562,0.000154,0.0001545933091843272
ACK Flag Cnt,95.578238,0.000154,0.00018796613582533744
Active Std,94.794819,0.00027,0.00022155742489553612
Bwd Pkt Len Std,94.286351,0.000116,0.00024335941791708143
Bwd IAT Std,94.272899,0.000116,0.00024393621018350964
Idle Std,93.545672,0.000308,0.00027511810949492916
Fwd Pkt Len Std,93.335196,3.9e-05,0.0002841428589053204
Pkt Len Std,92.846951,0.000154,0.0003050777340258869
Pkt Len Var,92.846951,0.000154,0.0003050777340258869
Active Min,91.28439,0.000308,0.00037207692378362755
Active Max,91.28439,0.00027,0.00037207692378362755
Active Mean,91.284355,0.00027,0.00037207842450688935
Bwd IAT Min,88.603421,0.000116,0.0004870309964666265
Idle Mean,87.811776,0.000308,0.0005209749983812822
Idle Max,87.811776,0.000308,0.0005209749983812822
Idle Min,87.811776,0.000308,0.0005209749983812822
Bwd IAT Max,87.550392,0.000116,0.0005321825712156464
Bwd IAT Mean,87.550353,0.000116,0.0005321842434501387
Bwd IAT Tot,87.550315,0.000116,0.0005321858728068235
Fwd IAT Std,83.978995,0.000116,0.0006853162442711138
Fwd IAT Min,83.816531,0.000116,0.0006922823443880383
Fwd IAT Max,81.76744,0.000116,0.0007801428738264909
Fwd IAT Mean,81.767401,0.000116,0.0007801445460609829
Fwd IAT Tot,81.767363,0.000116,0.0007801461754176676
Flow IAT Std,81.590984,0.000116,0.0007877089202258897
Fwd Pkt Len Min,22.352078,3.9e-05,0.003327743327928975
Down/Up Ratio,20.62552,0.000193,0.00340177434948253
TotLen Fwd Pkts,18.118917,3.9e-05,0.0035092519903837946
Subflow Fwd Byts,18.118914,0.000231,0.003509252119017217
Fwd Seg Size Avg,18.118907,0.000193,0.0035092524191618693
Fwd Act Data Pkts,18.118875,0.000231,0.0035092537912517095
Fwd Pkt Len Max,18.11884,3.9e-05,0.0035092552919749717
Fwd Pkt Len Mean,18.11884,3.9e-05,0.0035092552919749717
Fwd Header Len,15.730773,0.000154,0.0036116503690869677
Pkt Len Min,15.592167,0.000154,0.0036175934904726682
Bwd Pkt Len Min,15.551067,7.7e-05,0.003619355768360727
Bwd Pkt Len Mean,11.320454,7.7e-05,0.0038007551781620488
TotLen Bwd Pkts,11.320445,3.9e-05,0.0038007555640623162
Bwd Seg Size Avg,11.320424,0.000193,0.0038007564644962737
Bwd Pkt Len Max,11.320411,7.7e-05,0.003800757021907771
Subflow Bwd Byts,11.32039,0.000231,0.0038007579223417283
Pkt Len Max,11.320111,0.000154,0.0038007698852500194
Pkt Len Mean,11.320073,0.000154,0.003800771514606704
Pkt Size Avg,11.320038,0.000193,0.003800773015329967
Flow Byts/s,11.193319,0.142806,0.0038062064482179696
Bwd Header Len,8.969796,0.000154,0.0039015462393734513
Protocol,8.969747,3.9e-05,0.0039015483403860183
Dst Port,8.969747,3.9e-05,0.0039015483403860183
Src Port,8.969708,0.0,0.0039015500126205107
Fwd Pkts/s,6.903822,0.000154,0.0039901306748358475
Tot Fwd Pkts,6.761008,3.9e-05,0.003996254226035488
Subflow Fwd Pkts,6.760982,0.000231,0.003996255340858484
Flow IAT Min,3.340671,0.000116,0.004142910777490709
Bwd Pkts/s,0.142845,0.000154,0.004280026545122331
Flow IAT Mean,0.142807,0.000116,0.004280028174479015
Flow Duration,0.142768,3.9e-05,0.004280029846713508
Flow IAT Max,0.142768,0.000116,0.004280029846713508
Init Bwd Win Byts,0.002814,0.000231,0.004286030767383712
Tot Bwd Pkts,0.000116,3.9e-05,0.004286146451708335
Flow Pkts/s,7.7e-05,0.000116,0.0042861481239428265
Init Fwd Win Byts,0.0,0.000231,0.004286151425534004
Subflow Bwd Pkts,0.0,0.000231,0.004286151425534004
